,k_a,k_o1,k_o2,m_so,k_c,c_pa,C_z,COP
2014-11-08,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-11-09,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-11-10,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-11-11,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-11-12,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-11-13,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-11-14,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-11-15,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-11-16,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-11-17,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-11-18,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-11-19,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-11-20,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-11-21,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-11-22,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-11-23,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-11-24,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-11-25,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-11-26,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
